channel_id,channel_title,description,subscriber_count,view_count,video_count,published_at,category,city,country,niche,engagement_rate,search_query,scraped_at
UCpxv389bZItZbpDHmwHKx4Q,Brows by Alyssa,"Hi everyone, my name is Alyssa. I am a beauty professional located in Los Angeles. Thank you for checking out my channel. 


One of my favorite things in the world to do is create art. My canvas is a human rather than an actual conventional canvas. 

I will be doing a mix of tutorials with up close, behind the scenes shots.

-About me - 
I was born and raised in Texas. I decided to move to Los Angeles and start a new journey in the beauty industry in 2013. I've been in the industry for 12 years ",1150,102157,10,2019-09-13T21:18:40Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:52:58.655975
UCHf8L5n7UYVbvFzPQqwg8bA,Serena Nicole,"♡ S E R E N A   N I C O L E ♡

• 26
• Sacramento | Los Angeles 
• Beauty & Lifestyle Content Creator

Partnership/PR inquiries please email : serenanicole@select.co",8420,1352915,371,2011-10-22T18:07:37Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:52:58.900535
UChRIM69i3pgQcKTRwxF36rQ,Bella Tompkins,"Just a girl from Los Angeles, California with a passion and love for all things beauty related ♡ 
Subscribe to stay updated on videos! I upload at least 3x a week ♡
Instagram:
@bellamakeup_


For business inquiries:
sbtorresmgmt@gmail.com",197000,24282410,1008,2015-03-07T00:14:35Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:52:59.600905
UCknCUo97GB8OEQy-kiketpA,Scins,"Welcome to ""SCINS"" Skin Aesthetics Clinic - where your best skin is guaranteed! ✨
Subscribe and get the latest updates from SCINS!
📍Los Angeles, CA

📩 Business Inquiries - scinsofficial@gmail.com
",20400,88524,9,2024-11-25T18:44:58.264666Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:52:59.866620
UCnCTpav1POn9m75XnQ4vYQA,SYLVIA VAN HOEVEN,"Scottsdale • Los Angeles
Honest beauty/fashion reviews & favorite finds!
✉️ sylviavanhoeven2001@gmail.com",4230,2634342,458,2017-05-22T18:30:00Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:00.256059
UC6UjxSNwWdpxnG475O64Ddw,Jalisa Shaveh,"Jalisa Shaveh recreates the latest beauty/fashion trends through her eyes. And also shares insight on growing as a woman of God, follower of Christ and young entrepreneur living life in Los Angeles.

FASHION | MAKEUP | MOTIVATION
Subscribe to my channel ❤️
Follow my Instagram @jalisashaveh

Business email below📧",2050,186998,227,2019-04-29T22:37:52Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:01.235138
UCElPqSIpDaKwiAhcB8Np_9w,Gentle-Storm Wyatt,"Hello to all my beauty lovers. I’m Storm and I love all things beauty: makeup, hair, nails..

Welcome to my channel! I’m a Professional Makeup Artist in Los Angeles! 

I specialize in Soft Glam makeup.  
For bookings and inquiries, email me at info@gentlestormwyatt.com or click the link below. 

I’m so happy to have you here! If you like my content, give me a follow. 💋 
",1470,247842,222,2014-07-24T19:42:22Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:01.492127
UC90lKU9Faq2pePy3LaXab3A,Katari Beauty,"Discover ancient beauty through our trips, tips & behind the scenes of building a clean beauty brand.

Get ready to dive into a captivating world of clean beauty and learn about the most coveted beauty secrets and recipes. We will dish out tips on how to incorporate natural ingredients into your skincare routine while becoming a eco-friendly superhero.

We will take you on adventures around the globe, uncovering beauty rituals from different cultures, showing how artisans create their timeless s",2940,27013,32,2018-01-26T18:25:09Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:01.740690
UCNywt1QLv2ivxYN6TViyiMw,Glam Packed (Bethany),"Hi I'm Bethany! I'm a 20-something living and working in Los Angeles, CA.  Makeup Artist at heart, but currently an HGTV Casting Producer.  I do makeup tutorials, reviews, and anything in between. Press that subscribe button to see more! New videos every Tuesday and Friday.

Business Inquiries Only : glampacked@gmail.com

IG: instagram.com/glampacked
FB: facebook.com/glampacked
Tweet: twitter.com/glampacked
blog: www.glampacked.com
Snap: glampackedsnaps",9380,450791,81,2015-07-15T19:48:10Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:02.149942
UCi0o9irT_KUpHmACT2VLiwg,Charlotte Tilbury Beauty,"Darling, unlock the secret to your most BEAUTIFUL YOU! 
Discover magic makeup and skincare tutorials on the official YouTube Channel for Charlotte Tilbury Beauty!

Whether you want to create one of my 10 ICONIC looks, discover your perfect wedding makeup look, beautify your eyes with a Feline Flick or SUPERCHARGE your skincare routine, this is the perfect online destination to make ALL your beauty dreams come true!
 
Discover the MAGIC as I’m joined by my gorgeous nieces, celebrity makeup artist",878000,154761050,1984,2012-05-16T09:28:54Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:02.406153
UCBRjn-quPQmo0Jpk2dmBzOQ,The Beauty Strip ,"A skincare boutique in Los Angeles that offers beauty tips and tricks. Shop our favorite skincare products on our site! Our newly favorite HOP+ topical Botox is transformational to anyone looking for a plump, hydrated look. ",1140,336087,16,2016-01-13T19:32:16Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:02.666502
UCI5Bz9zMQyz8uv6bkgxVacA,Sugarpill,"Sugarpill Cosmetics is a cruelty-free line of vibrant, richly pigmented makeup line for dolls! Made with love in Los Angeles and never, ever tested on animals.

INSTAGRAM: www.instagram.com/sugarpill
TWITTER: www.twitter.com/sugarpillmakeup
FACEBOOK: www.facebook.com/sugarpillcosmetics
PINTEREST: www.pinterest.com/sugarpill
TUMBLR: www.addictedtopretty.com",57200,3838652,38,2016-10-12T17:06:42Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:03.062334
UCAyFmRTmxa_hUqmSXCUBWfA,Brittany Hairston,"Brittany Hairston is a Los Angeles-based beauty creator and influencer known for her engaging and informative beauty tutorials. With years of experience in the beauty space, she has built a loyal community that trusts her expert recommendations and insights. Brittany specializes in showcasing products that cater to the strong buying power of Black-female beauty shoppers.

If you’re interested in partnering with Brittany and introducing your brand and product to the strong buying power of the Bla",5290,1360723,394,2013-08-30T22:29:37Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:03.732282
UCWetMUFBJyL5S25Ik0jpJAQ,Jaqui Aranda,"Hola soy Jaqueline pero todos me dicen Jaqui. 
Me gusta mucho el maquillaje, la belleza y la moda. 
En este canal encontrarán estas cosas. S U S C R I B E T E :)",2160,255560,25,2013-09-09T23:57:16Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:04.966486
UC3OnkvO2RjJSz1nANq1R38Q,Ángeles Parfum,"¡Bienvenidos! 

Me llamo Ángeles y en este canal hablaré de perfumes: cómo son, mis experiencias con ellos en cuanto a duración, halagos, las reacciones que he recibido de la gente, los más populares y los que más me gustan según la ocasión. 

¡Espero que os sirva de ayuda y que podáis disfrutar de este canal tanto como yo!



",160000,17580136,63,2019-09-14T09:07:35Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:05.370423
UC11ksb3vvf_C0W_-blwYZmg,Turbo Power,"Bienvenido a Turbo Power, tu destino definitivo en YouTube para descubrir la pasión por los autos. Aquí encontrarás los mejores contenidos sobre coches deportivos, clásicos, de lujo y de última generación: reseñas detalladas, comparativas, consejos de mantenimiento, curiosidades del mundo automotriz y las últimas tendencias en tecnología y diseño automovilístico.

En Turbo Power celebramos la velocidad, la ingeniería y el estilo de vida que rodea a los autos. Si eres amante de los motores, las e",10400,2631670,133,2025-05-27T03:36:22.82766Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:53:05.621908
UC7NRHbceiQLA5rwzWNdSRCw,New York Style Guide,"New York Style Guide is a Fashion, Entertainment, and Lifestyle Magazine.",162000,57705062,806,2015-07-23T01:01:04Z,Beauty & Cosmetics,New York,USA,beauty,15.0,New York beauty,2025-08-11T17:53:09.705880
UCiUvin-o7XENXb2jB3DraEg,Maybelline New York Colombia,"¡Somos el canal oficial de Maybelline New York en Colombia!

Aquí encontrarás lo último en tendencias de moda y maquillaje desde Nueva York. 

¡Expresa tu actitud con Maybelline!",10600,77654096,245,2015-03-13T15:52:04Z,Beauty & Cosmetics,New York,USA,beauty,15.0,New York beauty,2025-08-11T17:53:10.522592
UCgasvLHYjWl4BznYR4MsJPA,New York City Photos ,"Welcome to New York City Photos! 🏙️📸
Join me as I explore the streets of NYC, capturing its beauty through live walks, reels, and stunning photography. From iconic landmarks to hidden gems, experience the city like never before!

🔔 Subscribe for more NYC content

📷 Follow me on Facebook for daily NYC photos & videos: http://facebook.com/nydaily

🛍️ Shop NYC prints & merchandise: https://nydaily.creator-spring.com

💬 Let’s connect!
📩 Business inquiries: https://nydailyphotos.com
📍 Location: New Y",5120,2698461,767,2022-08-28T18:41:18.801635Z,Beauty & Cosmetics,New York,USA,beauty,15.0,New York beauty,2025-08-11T17:53:10.778004
UCH9HkjawpGAb4tSroW_kULA,Beauty Beauty International School,"Beauty Beauty International School is an NYSED licensed school of cosmetology, Esthetics, Nail Specialty, Waxing & Permanent Make-up. We train future professionals that are interested in the beauty industry, and teach skills and tools necessary to becoming successful in the industry. We cover hair styling, cutting, esthetics, facials, waxing, nail specialty, and many more. Our school offers training programs to get licensed as well as advanced esthetics courses.

Location: 41 Seventh Avenue Sout",5410,528739,136,2018-12-27T22:01:46Z,Beauty & Cosmetics,New York,USA,beauty,15.0,New York beauty,2025-08-11T17:53:11.041201
UCSzGbFvE5iMOWqNPqr57Q5w,New York Live,"www.newyorklivetv.com New York Live is a daily, live, lifestyle show airing weekdays at 11:30pm on 4 New York (WNBC). The show features fashion, beauty, celebrity interviews, cooking, arts and tri-state area stories. Follow us on Twitter, Facebook & Instagram! @newyorklivetv",24100,15354919,5565,2013-05-02T13:59:17Z,Beauty & Cosmetics,New York,USA,beauty,15.0,New York beauty,2025-08-11T17:53:11.612617
UCAyW7KecuXoDVmQ0Y5U5qMA,Beauty Queen Of Nyc,"Hey Guys!! Welcome to my You Tube Channel !! My name is Yaadrissa Im from New York, Im addicted to all things Beauty. I am a self taught Hairstylist , Makeup and SFX Artist & Nail Tech. I also enjoy Creating D.I.Y Projects.I Specialize in Custom Wigs,Dying Hair and Sew ins Ect! On my channel you will see my tips and techniques used in detailed Tutorials.I hope you find my page both entertaining and Informative if you do then Please Like 👍🏾 Comment and SUBSCRIBE ❤️.


Thanks For Watching ! 

New ",1190,359362,318,2016-04-07T23:03:36Z,Beauty & Cosmetics,New York,USA,beauty,15.0,New York beauty,2025-08-11T17:53:11.865888
